tournament_code,tournament_name,tier,start_date,end_date,patch_code,url,last_updated,csv_name
58,MPL Indonesia Season 4,A,20190823,20191027,1.3.52 – 1.4.08,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4,20231230,58_MPL Indonesia Season 4.csv
59,MPL Myanmar Season 3,A,20190831,20191026,1.3.96 – 1.4.20,https://liquipedia.net/mobilelegends/MPL/Myanmar/Season_3,20231230,59_MPL Myanmar Season 3.csv
60,MPL MY/SG Season 4,A,20190824,20191020,1.4.06 – 1.4.20,https://liquipedia.net/mobilelegends/MPL/MYSG/Season_4,20231230,60_MPL MY_SG Season 4.csv
61,MPL Philippines Season 4,A,20190810,20191006,1.3.96 – 1.4.14,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_4,20231230,61_MPL Philippines Season 4.csv
62,MLBB Southeast Asia Cup 2019,A,20190619,20190623,,https://liquipedia.net/mobilelegends/MSC/2019,20231230,62_MLBB Southeast Asia Cup 2019.csv
63,MPL Philippines Season 3,A,20190323,20190526,1.3.52 – 1.3.80,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3,20231230,63_MPL Philippines Season 3.csv
64,MPL Indonesia Season 3,A,20190216,20190505,1.3.52 – 1.3.54,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_3,20231230,64_MPL Indonesia Season 3.csv
65,MPL MY/SG Season 3,A,20190301,20190421,1.3.52 – 1.3.54,https://liquipedia.net/mobilelegends/MPL/MYSG/Season_3,20231230,65_MPL MY_SG Season 3.csv
66,MPL Philippines Season 2,A,20181027,20190113,1.3.12,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_2,20231230,66_MPL Philippines Season 2.csv
67,MPL Indonesia Season 2,A,20180907,20181118,1.3.10,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2,20231230,67_MPL Indonesia Season 2.csv
68,MPL MY/SG Season 2,A,20180810,20181021,1.2.48 – 1.2.68,https://liquipedia.net/mobilelegends/MPL/MYSG/Season_2,20231230,68_MPL MY_SG Season 2.csv
69,MLBB Southeast Asia Cup 2018,A,20180727,20180729,,https://liquipedia.net/mobilelegends/MSC/2018,20231230,69_MLBB Southeast Asia Cup 2018.csv
70,MPL Philippines Season 1,A,20180512,20180701,1.2.76 – 1.2.90,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1,20231230,70_MPL Philippines Season 1.csv
71,MPL MY/SG Season 1,A,20180113,20180415,1.2.48 – 1.2.68,https://liquipedia.net/mobilelegends/MPL/MYSG/Season_1,20231230,71_MPL MY_SG Season 1.csv
72,MPL Indonesia Season 1,A,20180113,20180401,1.2.48 – 1.2.68,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1,20231230,72_MPL Indonesia Season 1.csv
73,MLBB Southeast Asia Cup 2017,A,20170901,20170903,,https://liquipedia.net/mobilelegends/MSC/2017,20231230,73_MLBB Southeast Asia Cup 2017.csv
74,Liga Esports National 2023 - Liga 1,B,20231006,20231203,1.8.20 – 1.8.30B,https://liquipedia.net/mobilelegends/Liga_Esports_National/2023/Liga/1,20231230,74_Liga Esports National 2023 - Liga 1.csv
75,Unipin Ladies Series SEA Championship 2023,B,20231127,20231203,,https://liquipedia.net/mobilelegends/Unipin_Ladies_Series_SEA_Championship/2023,20231230,75_Unipin Ladies Series SEA Championship 2023.csv
76,Esports National Championship 2023,B,20231107,20231119,1.8.30B,https://liquipedia.net/mobilelegends/Esports_National_Championship/2023,20231230,76_Esports National Championship 2023.csv
77,Light of Dawn Pro-Invitational Tournament Season 2,B,20231014,20231112,,https://liquipedia.net/mobilelegends/Light_of_Dawn_Pro-Invitational_Tournament/Season_2,20231230,77_Light of Dawn Pro-Invitational Tournament Season 2.csv
78,GG Gaming Festival - 2023,B,20231007,20231105,1.8.20 – 1.8.22,https://liquipedia.net/mobilelegends/GG_Gaming_Festival/2023,20231230,78_GG Gaming Festival - 2023.csv
79,MDL Indonesia Season 8,B,20230710,20231029,1.7.94 – 1.8.22,https://liquipedia.net/mobilelegends/MDL/Indonesia/Season_8,20231230,79_MDL Indonesia Season 8.csv
